,className,category,topic,level,duration,chapters,lessons,startDate,subtitles,creatorName,creatorSocialMedia,reviewNum,satisfaction,communityPosts,likes,feedbackPct,feedbackTime,feedbackNum,originalPrice,discountAmount,couponDiscount,finalPrice,installmentPeriod,discountPct,monthlyPayment,coupon,referenceDate,classURL
0,"[🔥상반기 총결산] AI 자동 투자 봇 만들기, 노트북으로 월급을 두 배 불리는 법",재태크,AI 자동 투자 봇 만들기,입문자,,23,107,바로 수강 가능,True,타임퍼센트,"https://instagram.com/timepercent, https://wikidocs.net/book/4652","1,929",97%,565개의 글,13206,,,,"590,500원","-258,270원","-50,000원","282,230원",5개월 할부,52%,"월 56,446원",5만원 쿠폰,2021-06-10,https://class101.net/products/Xl3FzgGJCzgid7nsKIjE
0,"[🔥상반기 총결산] 왕초보도 할 수 있는 미국주식 투자, 배당금으로 제2의 월급 만들기",재태크,미국주식투자,입문자,20주 수강 가능,10,39,바로 수강 가능,True,미국주식으로 부자되기-미주부,"https://www.youtube.com/channel/UCM_HKYb6M9ZIAjosJfWS3Lw, https://www.youtube.com/channel/UCLpLwlRFMs3C6M74yr8oYrA","2,778",99%,63개의 글,10526,,,,"199,000원","-40,300원","-40,000원","118,700원",5개월 할부,40%,"월 23,740원",3만원 쿠폰,2021-06-10,https://class101.net/products/kl0DdlkkXGyssJdqUHeK
0,[🏆BEST특가] 평범한 삶을 벗어나 부자의 길로 탈출하는 송사무장의 부동산 투자 노하우,재태크,"부자되는 법, 부동산 공부",입문자,20주 수강 가능,9,32,바로 수강 가능,True,송사무장,"https://www.youtube.com/channel/UCz4CFx4eeELZNReE_Wyit4g, https://blog.naver.com/nougury, http://cafe.daum.net/happy-tech, https://cafe.naver.com/mkas1.cafe","4,678",98%,66개의 글,7266,,,,"199,000원","-40,300원","-40,000원","118,700원",5개월 할부,40%,"월 23,740원",4만원 쿠폰,2021-06-10,https://class101.net/products/daxSCmVcskQEKjGoU1tm
0,"[🏆BEST특가] 20대,30대를 위한 내 집 마련의 첫걸음,부동산 공부는 빠를수록 좋다",재태크,부동산,입문자,20주 수강 가능,14,51,바로 수강 가능,True,거상쌤,http://asil.kr/asil/index.jsp,548,98%,2개의 글,5841,,,,"199,000원","-40,300원","-40,000원","118,700원",5개월 할부,40%,"월 23,740원",3만원 쿠폰,2021-06-10,https://class101.net/products/qHydQ5APqqT0vWR77tlO
0,"[🔥상반기 총결산] 똑똑한 부동산 투자 방법, 내 집 마련으로 안정적인 삶까지 한 번에! 55만유튜버 부읽남",재태크,내 집 마련 투자법,초급자,20주 수강 가능,10,47,바로 수강 가능,True,부동산읽어주는남자,https://www.youtube.com/channel/UC2QeHNJFfuQWB4cy3M-745g,"2,450",99%,52개의 글,4317,,,,"249,000원","-40,000원","-40,000원","169,000원",5개월 할부,32%,"월 33,800원",3만원 쿠폰,2021-06-10,https://class101.net/products/iE1dNfJsdt0q8AFJ1XpH
0,"[🏆BEST특가] 주식투자, 운도 감도 아닌 학습입니다",재태크,주식투자,입문자,20주 수강 가능,8,37,바로 수강 가능,True,알머리 제이슨,"https://www.youtube.com/user/shinook430, https://blog.naver.com/shinook430, https://www.instagram.com/vibe_archiv","1,441",98%,13개의 글,4250,,,,"199,000원","-40,300원","-40,000원","118,700원",5개월 할부,40%,"월 23,740원",4만원 쿠폰,2021-06-10,https://class101.net/products/t4Hd40M9hjRMGLsBFL4H
0,[🏆BEST특가] 뜬구름 잡지 않는 부동산 경매 투자법! 월급쟁이 부자는 없다.,재태크,부동산 경매 투자,입문자,20주 수강 가능,11,37,바로 수강 가능,True,젊은부자마을 유비,"https://www.youtube.com/channel/UCCTOzFObhmZoMkJVQKgAQJQ?view_as=subscriber, https://cafe.naver.com/yubitown","1,078",98%,28개의 글,4073,,,,"599,300원","-223,560원","-40,000원","335,740원",5개월 할부,43%,"월 67,148원",4만원 쿠폰,2021-06-10,https://class101.net/products/G5d5eWqidj6YeThpjftd
0,"[🔥상반기 총결산] 코딩 없이 주식 자동매매하기, 평범한 사람이 시장을 이기는 방법",재태크,코딩없이 주식 자동매매,입문자,20주 수강 가능,11,52,바로 수강 가능,False,닥터퀀트,"https://www.youtube.com/c/%EB%8D%94%ED%80%80%ED%8A%B8%EC%95%84%EC%B9%B4%EB%8D%B0%EB%AF%B8%EB%8B%A5%ED%84%B0%ED%80%80%ED%8A%B8%EC%97%B0%EA%B5%AC%EC%86%8C, https://www.instagram.com/dr.quant_jin/, https://blog.naver.com/drquant",522,99%,228개의 글,3169,,,,"280,000원","-30,000원","-40,000원","210,000원",5개월 할부,25%,"월 42,000원",4만원 쿠폰,2021-06-10,https://class101.net/products/j2cqasKulOEI8EtcgWmd
0,[클래스문방구] 저렴하게 배워보는 재테크전문가의 How To 재테크!,재태크,재테크,입문자,12주 수강 가능,8,23,바로 수강 가능,True,리치메이커 김병인,,487,96%,15개의 글,2952,,,,"139,250원","-45,300원","-40,000원","53,950원",3개월 할부,61%,"월 17,983원",3만원 쿠폰,2021-06-10,https://class101.net/products/qXWbRkIdjHEAw9VzUc7e
0,[🏆BEST특가] 소수몽키와 함께하는 미국주식 입문 클래스(A to Z),재태크,주식투자,입문자,20주 수강 가능,10,26,바로 수강 가능,True,소수몽키,"https://www.youtube.com/channel/UCC3yfxS5qC6PCwDzetUuEWg?view_as=subscriber, http://sosumonkey.com/, https://www.instagram.com/sosuilzy/, https://cafe.naver.com/sosumonkey","1,349",99%,18개의 글,2746,,,,"219,900원","-31,200원","-50,000원","138,700원",5개월 할부,36%,"월 27,740원",5만원 쿠폰,2021-06-10,https://class101.net/products/ahZk6lmlzJqhUhdPzjxm
0,[🔥상반기 총결산] 2000만원으로 5년 만에 경제적 자유를! 세상에 공개되지 않는 진짜 이야기!,재태크,주식,초급자,20주 수강 가능,12,34,바로 수강 가능,True,JB 김종봉,"https://www.instagram.com/thejb.star, https://cafe.naver.com/myungeui, https://www.youtube.com/channel/UCBpIdRdKZFlao1YRX4PYaqQ","1,297",99%,34개의 글,2636,,,,"339,000원","-60,000원","-30,000원","249,000원",5개월 할부,26%,"월 49,800원",3만원 쿠폰,2021-06-10,https://class101.net/products/ydfUVfkzx7lChv3ylmlF
0,"[클래스문방구] 경제적 자유를 위한 첫 시작, 요니나의 가계부 작성법",재태크,가계부 작성법,입문자,16주 수강 가능,9,46,바로 수강 가능,True,요니나,"http://yonina.kr/, https://www.youtube.com/user/Yonina58, https://www.instagram.com/yonina58/, https://smartstore.naver.com/day1p","1,217",97%,12개의 글,2418,95,평균 3일 이내 응답,"1,159개의 피드백 더보기","200,000원","-80,400원","-40,000원","79,600원",4개월 할부,60%,"월 19,900원",3만원 쿠폰,2021-06-10,https://class101.net/products/q9jLjJxBlYK2ZydzbIMx
0,"[🔥상반기 총결산] 처음 하는 주식 투자, 연 20% 수익 내는 법",재태크,체계적인 주식투자,초급자,20주 수강 가능,8,23,바로 수강 가능,True,절대수익 이재웅,"https://www.youtube.com/channel/UC-on8gU2pin4uiSupkMA9hQ/featured?view_as=subscriber, https://cafe.naver.com/stockstudy300",314,98%,20개의 글,1925,99,평균 7일 이내 응답,"2,380개의 피드백 더보기","199,000원","-40,300원","-40,000원","118,700원",5개월 할부,40%,"월 23,740원",4만원 쿠폰,2021-06-10,https://class101.net/products/9qhpATqcUDcaOHrep6AY
0,"[🧡1+1] 주식투자, 제대로 공부하고 자동주식매매까지 한 번에 끝내기",재태크,,,1년 수강 가능,0,0,바로 수강 가능,False,클래스101,,,,,1758,,,,"649,000원","-298,300원","-50,000원","300,700원",12개월 할부,53%,"월 25,058원",5만원 쿠폰,2021-06-10,https://class101.net/products/eVf4jIVS1t5rreErJKKf
0,"[클래스문방구] 주식 자동화 코딩을 실전투자로 재밌게 배우기, 왕초보부터 고수까지",재태크,주식 자동화 코딩,입문자,20주 수강 가능,11,50,바로 수강 가능,False,프로그램 동산,"https://www.youtube.com/channel/UCq7fsrxP6oi6vnYgPkw92jg, https://instagram.com/program_garden",65,94%,55개의 글,1546,100,평균 하루 이내 응답,"1,532개의 피드백 더보기","259,000원","-10,000원","-40,000원","209,000원",5개월 할부,19%,"월 41,800원",3만원 쿠폰,2021-06-10,https://class101.net/products/GNNMfyIfdxmlByRtMbdI
0,[클래스문방구] 스타트업 투자로 재테크하라! 10배 수익 내는 비상장 주식 투자,재태크,비상장주식(장외주식) 투자 노하우,초급자,20주 수강 가능,10,34,바로 수강 가능,True,대한팀장,,104,97%,14개의 글,1236,,,,"331,700원","-103,540원","-40,000원","188,160원",5개월 할부,43%,"월 37,632원",3만원 쿠폰,2021-06-10,https://class101.net/products/SdJYB9PEhta0J80zc2WC
0,"[💖인기검색] 친절한 성 기자에게 배우는 재테크, 6개월 만에 천만 원 만드는 법!",재태크,"재테크, 금융, 부동산, 투자",초급자,20주 수강 가능,8,28,바로 수강 가능,True,친절한 성 기자,"https://www.youtube.com/channel/UC3ihQsnqJqMQjxDYvbWpQpg?view_as=subscriber, https://blog.naver.com/alloga",220,96%,2개의 글,1218,,,,"369,600원","-104,680원","-40,000원","224,920원",5개월 할부,39%,"월 44,984원",3만원 쿠폰,2021-06-10,https://class101.net/products/DNm9e65tB7fmFQ78cOPz
